District,Year,Extent_Yala,Extent_Maha,Extent_Total,Production_Yala,Production_Maha,Production_Total
Mullativu,2016,0,0.0,0.0,0,0.0,0.0
Mullativu,2017,0.0,0.0,0.0,0.0,0.0,0.0
Mullativu,2018,0.0,0.0,0.0,0.0,0.0,0.0
Mullativu,2019,0,0,0,0,0,0
Mullativu,2020,0.0,0.0,0.0,0.0,0.0,0.0
Mullativu,2021,0,0.5,0.5,0,5.3,5.3
Mullativu,2022,3.0,4.9,7.9,26.9,58.2,85.1
Mullativu,2023,3.8,9.1,12.9,32.9,119.0,32.9
Mullativu,2024,116.7,289.7,406.4,103.7,252.7,356.4
Mullativu,2025,0,4.0,0,0,41.0,0
Kilinochchi,2001,0,0,0,0,0,0
Kilinochchi,2002,0,0,0,0,0,0
Kilinochchi,2003,0,0,0,0,0,0
Kilinochchi,2004,0,0,0,0,0,0
Kilinochchi,2005,0,0,0,0,0,0
Kilinochchi,2006,0,0,0,0,0,0
Kilinochchi,2007,0,0,0,0,0,0
Kilinochchi,2008,0,0,0,0,0,0
Kilinochchi,2009,0,0,0,0,0,0
Kilinochchi,2010,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2011,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2012,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2013,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2014,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2015,0,0.0,0.0,0,0.0,0.0
Kilinochchi,2016,0,0.0,0.0,0,0.0,0.0
Kilinochchi,2017,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2018,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2019,0,0,0,0,0,0
Kilinochchi,2020,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,2021,0,0,0,0,0,0
Kilinochchi,2022,0,0,0,0,0,0
Kilinochchi,2023,0,0,0,0,0,0
Kilinochchi,2024,62.9,154.6,217.5,64.7,184.7,249.4
Kilinochchi,2025,0,0,0,0,0,0
Batticaloa,2001,0,0,0,0,0,0
Batticaloa,2002,0,0,0,0,0,0
Batticaloa,2003,0,0,0,0,0,0
Batticaloa,2004,0,0,0,0,0,0
Batticaloa,2005,0,0,0,0,0,0
Batticaloa,2006,0,0,0,0,0,0
Batticaloa,2007,0,0,0,0,0,0
Batticaloa,2008,0,0,0,0,0,0
Batticaloa,2009,0,0,0,0,0,0
Batticaloa,2010,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2011,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2012,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2013,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2014,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2015,0,0.0,0.0,0,0.0,0.0
Batticaloa,2016,0,0.0,0.0,0,0.0,0.0
Batticaloa,2017,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2018,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,2019,0,0,0,0,0,0
Batticaloa,2020,0.1,0.0,0.1,0.9,0.0,0.9
Batticaloa,2021,0.9,2.4,3.3,10.0,19.2,29.2
Batticaloa,2022,1.2,3.0,4.2,10.5,25.0,35.5
Batticaloa,2023,1.7,4.3,6.0,15.0,30.7,15.0
Batticaloa,2024,63.2,103.9,167.1,69.0,109.6,178.6
Batticaloa,2025,0,3.1,0,0,16.2,0
Ampara,2001,0,4.0,4.0,0,17.0,17.0
Ampara,2002,0,4.0,4.0,0,19.0,19.0
Ampara,2003,0,5.0,5.0,0,24.0,24.0
Ampara,2004,0,0,0,0,0,0
Ampara,2005,0,1.0,1.0,0,2.0,2.0
Ampara,2006,0,3.0,3.0,0,6.0,6.0
Ampara,2007,0,10.0,10.0,0,25.0,25.0
Ampara,2008,0,11.0,11.0,0,35.0,35.0
Ampara,2009,0,7.0,7.0,0,31.0,31.0
Ampara,2010,0.0,10.0,10.0,0.0,79.0,79.0
Ampara,2011,0.0,7.0,7.0,0.0,70.0,70.0
Ampara,2012,0.0,8.0,8.0,0.0,70.0,70.0
Ampara,2013,0.0,8.0,8.0,0.0,74.0,74.0
Ampara,2014,0.0,8.0,8.0,0.0,78.0,78.0
Ampara,2015,0,6.0,6.0,0,139.0,139.0
Ampara,2016,0,7.0,7.0,0,144.0,144.0
Ampara,2017,0.0,45.0,45.0,0.0,65.0,65.0
Ampara,2018,0.0,12.0,12.0,0.0,35.0,35.0
Ampara,2019,0,14.0,14.0,0,72.0,72.0
Ampara,2020,12.2,30.0,42.2,68.0,148.0,216.0
Ampara,2021,10.6,33.6,44.2,52.6,169.8,222.4
Ampara,2022,22.2,46.1,68.3,109.4,274.0,383.4
Ampara,2023,16.9,53.1,70.0,87.9,207.3,87.9
Ampara,2024,935.7,644.5,1580.2,813.4,568.9,1382.3
Ampara,2025,0,28.0,0,0,155.3,0
Trincomalee,2001,0,0,0,0,0,0
Trincomalee,2002,0,0,0,0,0,0
Trincomalee,2003,0,0,0,0,0,0
Trincomalee,2004,0,0,0,0,0,0
Trincomalee,2005,0,1.0,1.0,0,3.0,3.0
Trincomalee,2006,0,0,0,0,0,0
Trincomalee,2007,0,0,0,0,0,0
Trincomalee,2008,0,1.0,1.0,0,3.0,3.0
Trincomalee,2009,0,0,0,0,0,0
Trincomalee,2010,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,2011,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,2012,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,2013,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,2014,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,2015,0,0.0,0.0,0,0.0,0.0
Trincomalee,2016,0,2.0,2.0,0,1.0,1.0
Trincomalee,2017,0.0,1.0,1.0,0.0,10.0,10.0
Trincomalee,2018,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,2019,0,0,0,0,0,0
Trincomalee,2020,0.1,0.0,0.1,2.3,0.0,2.3
Trincomalee,2021,0,7.7,7.7,0,114.3,114.3
Trincomalee,2022,0.7,6.8,7.5,5.3,24.0,29.3
Trincomalee,2023,3.1,6.4,9.5,7.6,20.2,7.6
Trincomalee,2024,93.0,178.9,271.9,73.7,146.3,220.0
Trincomalee,2025,0,0,0,0,0,0
Kurunegala,2001,0,186.0,186.0,0,470.0,470.0
Kurunegala,2002,0,201.0,201.0,0,507.0,507.0
Kurunegala,2003,0,167.0,167.0,0,428.0,428.0
Kurunegala,2004,0,252.0,252.0,0,604.0,604.0
Kurunegala,2005,0,253.0,253.0,0,507.0,507.0
Kurunegala,2006,0,309.0,309.0,0,660.0,660.0
Kurunegala,2007,0,330.0,330.0,0,357.0,357.0
Kurunegala,2008,0,391.0,391.0,0,350.0,350.0
Kurunegala,2009,0,395.0,395.0,0,237.0,237.0
Kurunegala,2010,0.0,559.0,559.0,0.0,335.0,335.0
Kurunegala,2011,0.0,643.0,643.0,0.0,385.0,385.0
Kurunegala,2012,0.0,601.0,601.0,0.0,3604.0,3604.0
Kurunegala,2013,0.0,483.0,483.0,0.0,290.0,290.0
Kurunegala,2014,0.0,378.0,378.0,0.0,2271.0,2271.0
Kurunegala,2015,0,541.0,541.0,0,325.0,325.0
Kurunegala,2016,0,467.0,467.0,0,5485.0,5485.0
Kurunegala,2017,0.0,298.0,298.0,0.0,3381.0,3381.0
Kurunegala,2018,0.0,378.0,378.0,0.0,271.0,271.0
Kurunegala,2019,0,446.0,446.0,0,4371.0,4371.0
Kurunegala,2020,663.0,466.0,1129.0,7851.1,5061.0,12912.1
Kurunegala,2021,993.4,897.8,1891.2,12905.9,9124.1,22030.0
Kurunegala,2022,1083.9,1040.5,2124.4,15337.7,10270.5,25608.2
Kurunegala,2023,773.9,737.7,1511.6,8320.0,13476.9,8320.0
Kurunegala,2024,732.0,938.7,1670.7,729.2,1014.6,1743.8
Kurunegala,2025,0,668.4,0,0,6902.6,0
Puttalam,2001,0,14.0,14.0,0,44.0,44.0
Puttalam,2002,0,14.0,14.0,0,35.0,35.0
Puttalam,2003,0,30.0,30.0,0,75.0,75.0
Puttalam,2004,0,24.0,24.0,0,70.0,70.0
Puttalam,2005,0,66.0,66.0,0,208.0,208.0
Puttalam,2006,0,59.0,59.0,0,177.0,177.0
Puttalam,2007,0,44.0,44.0,0,337.0,337.0
Puttalam,2008,0,26.0,26.0,0,188.0,188.0
Puttalam,2009,0,24.0,24.0,0,171.0,171.0
Puttalam,2010,0.0,30.0,30.0,0.0,228.0,228.0
Puttalam,2011,0.0,51.0,51.0,0.0,378.0,378.0
Puttalam,2012,0.0,16.0,16.0,0.0,95.0,95.0
Puttalam,2013,0.0,16.0,16.0,0.0,111.0,111.0
Puttalam,2014,0.0,18.0,18.0,0.0,122.0,122.0
Puttalam,2015,0,54.0,54.0,0,384.0,384.0
Puttalam,2016,0,52.0,52.0,0,374.0,374.0
Puttalam,2017,0.0,46.0,46.0,0.0,330.0,330.0
Puttalam,2018,0.0,56.0,56.0,0.0,341.0,341.0
Puttalam,2019,0,49.0,49.0,0,352.0,352.0
Puttalam,2020,24.0,55.0,79.0,227.0,403.0,630.0
Puttalam,2021,35.2,64.3,99.5,264.7,485.5,750.2
Puttalam,2022,43.3,61.1,104.4,269.1,473.2,742.3
Puttalam,2023,41.0,44.3,85.3,240.9,283.3,240.9
Puttalam,2024,426.9,387.0,813.9,892.0,315.3,1207.3
Puttalam,2025,0,34.8,0,0,301.1,0
Anuradhapura,2001,0,0,0,0,0,0
Anuradhapura,2002,0,0,0,0,0,0
Anuradhapura,2003,0,0,0,0,0,0
Anuradhapura,2004,0,0,0,0,0,0
Anuradhapura,2005,0,0,0,0,0,0
Anuradhapura,2006,0,1.0,1.0,0,2.0,2.0
Anuradhapura,2007,0,3.0,3.0,0,3.0,3.0
Anuradhapura,2008,0,6.0,6.0,0,5.0,5.0
Anuradhapura,2009,0,3.0,3.0,0,26.0,26.0
Anuradhapura,2010,0.0,2.0,2.0,0.0,4.0,4.0
Anuradhapura,2011,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,2012,0.0,5.0,5.0,0.0,8.0,8.0
Anuradhapura,2013,0.0,1.0,1.0,0.0,5.0,5.0
Anuradhapura,2014,0.0,2.0,2.0,0.0,2.0,2.0
Anuradhapura,2015,0,1.0,1.0,0,2.0,2.0
Anuradhapura,2016,0,219.0,219.0,0,99.0,99.0
Anuradhapura,2017,0.0,3.0,3.0,0.0,31.0,31.0
Anuradhapura,2018,0.0,2.0,2.0,0.0,2.0,2.0
Anuradhapura,2019,0,25.0,25.0,0,165.0,165.0
Anuradhapura,2020,60.0,39.0,99.0,147.3,137.0,284.3
Anuradhapura,2021,79.8,48.8,128.6,173.1,110.3,283.4
Anuradhapura,2022,60.7,70.6,131.3,137.8,154.3,292.1
Anuradhapura,2023,44.4,69.3,113.7,310.8,178.2,310.8
Anuradhapura,2024,621.2,479.0,1100.2,524.1,463.8,987.9
Anuradhapura,2025,0,68.6,0,0,293.1,0
Polonnaruwa,2001,0,0,0,0,0,0
Polonnaruwa,2002,0,0.0,0.0,0,1.0,1.0
Polonnaruwa,2003,0,1.0,1.0,0,3.0,3.0
Polonnaruwa,2004,0,0,0,0,0,0
Polonnaruwa,2005,0,0,0,0,0,0
Polonnaruwa,2006,0,0,0,0,0,0
Polonnaruwa,2007,0,1.0,1.0,0,4.0,4.0
Polonnaruwa,2008,0,7.0,7.0,0,34.0,34.0
Polonnaruwa,2009,0,14.0,14.0,0,64.0,64.0
Polonnaruwa,2010,0.0,19.0,19.0,0.0,85.0,85.0
Polonnaruwa,2011,0.0,0.0,0.0,0.0,0.0,0.0
Polonnaruwa,2012,0.0,21.0,21.0,0.0,91.0,91.0
Polonnaruwa,2013,0.0,11.0,11.0,0.0,45.0,45.0
Polonnaruwa,2014,0.0,17.0,17.0,0.0,102.0,102.0
Polonnaruwa,2015,0,14.0,14.0,0,86.0,86.0
Polonnaruwa,2016,0,17.0,17.0,0,99.0,99.0
Polonnaruwa,2017,0.0,16.0,16.0,0.0,103.0,103.0
Polonnaruwa,2018,0.0,18.0,18.0,0.0,101.0,101.0
Polonnaruwa,2019,0,18.0,18.0,0,110.0,110.0
Polonnaruwa,2020,23.4,30.0,53.4,144.3,168.0,312.3
Polonnaruwa,2021,32.2,22.8,55.0,172.4,140.5,312.9
Polonnaruwa,2022,33.3,29.0,62.3,214.7,186.5,401.2
Polonnaruwa,2023,19.2,21.2,40.4,101.1,137.6,101.1
Polonnaruwa,2024,85.5,83.0,168.5,123.4,119.0,242.4
Polonnaruwa,2025,0,17.0,0,0,114.2,0
Badulla,2001,0,2.0,2.0,0,1.0,1.0
Badulla,2002,0,5.0,5.0,0,3.0,3.0
Badulla,2003,0,11.0,11.0,0,5.0,5.0
Badulla,2004,0,5.0,5.0,0,5.0,5.0
Badulla,2005,0,7.0,7.0,0,8.0,8.0
Badulla,2006,0,7.0,7.0,0,9.0,9.0
Badulla,2007,0,18.0,18.0,0,21.0,21.0
Badulla,2008,0,24.0,24.0,0,29.0,29.0
Badulla,2009,0,31.0,31.0,0,202.0,202.0
Badulla,2010,0.0,38.0,38.0,0.0,383.0,383.0
Badulla,2011,0.0,49.0,49.0,0.0,500.0,500.0
Badulla,2012,0.0,48.0,48.0,0.0,392.0,392.0
Badulla,2013,0.0,88.0,88.0,0.0,572.0,572.0
Badulla,2014,0.0,97.0,97.0,0.0,629.0,629.0
Badulla,2015,0,84.0,84.0,0,743.0,743.0
Badulla,2016,0,64.0,64.0,0,450.0,450.0
Badulla,2017,0.0,74.0,74.0,0.0,472.0,472.0
Badulla,2018,0.0,97.0,97.0,0.0,629.0,629.0
Badulla,2019,0,46.0,46.0,0,549.0,549.0
Badulla,2020,109.4,104.0,213.4,109.4,1242.0,1351.4
Badulla,2021,157.9,126.4,284.3,699.0,122.3,821.3
Badulla,2022,176.0,166.8,342.8,1885.9,1822.8,3708.7
Badulla,2023,142.2,123.3,265.5,1541.3,884.2,1541.3
Badulla,2024,234.9,84.4,319.3,308.0,409.5,717.5
Badulla,2025,0,163.6,0,0,1815.5,0
Monaragala,2001,0,0,0,0,0,0
Monaragala,2002,0,0.0,0.0,0,1.0,1.0
Monaragala,2003,0,4.0,4.0,0,5.0,5.0
Monaragala,2004,0,0,0,0,0,0
Monaragala,2005,0,1.0,1.0,0,9.0,9.0
Monaragala,2006,0,2.0,2.0,0,15.0,15.0
Monaragala,2007,0,7.0,7.0,0,72.0,72.0
Monaragala,2008,0,6.0,6.0,0,74.0,74.0
Monaragala,2009,0,5.0,5.0,0,50.0,50.0
Monaragala,2010,0.0,5.0,5.0,0.0,34.0,34.0
Monaragala,2011,0.0,12.0,12.0,0.0,155.0,155.0
Monaragala,2012,0.0,4.0,4.0,0.0,60.0,60.0
Monaragala,2013,0.0,6.0,6.0,0.0,60.0,60.0
Monaragala,2014,0.0,6.0,6.0,0.0,75.0,75.0
Monaragala,2015,0,14.0,14.0,0,156.0,156.0
Monaragala,2016,0,12.0,12.0,0,152.0,152.0
Monaragala,2017,0.0,11.0,11.0,0.0,134.0,134.0
Monaragala,2018,0.0,6.0,6.0,0.0,75.0,75.0
Monaragala,2019,0,25.0,25.0,0,299.0,299.0
Monaragala,2020,52.0,19.0,71.0,624.3,311.0,935.3
Monaragala,2021,56.4,71.8,128.2,666.3,781.6,1447.9
Monaragala,2022,59.9,72.1,132.0,652.9,778.4,1431.3
Monaragala,2023,25.0,73.9,98.9,274.9,658.5,274.9
Monaragala,2024,1349.9,784.1,2134.0,1512.0,704.1,2216.1
Monaragala,2025,0,40.9,0,0,432.0,0
Ratnapura,2001,0,42.0,42.0,0,68.0,68.0
Ratnapura,2002,0,47.0,47.0,0,75.0,75.0
Ratnapura,2003,0,35.0,35.0,0,52.0,52.0
Ratnapura,2004,0,31.0,31.0,0,106.0,106.0
Ratnapura,2005,0,37.0,37.0,0,107.0,107.0
Ratnapura,2006,0,30.0,30.0,0,87.0,87.0
Ratnapura,2007,0,41.0,41.0,0,164.0,164.0
Ratnapura,2008,0,44.0,44.0,0,253.0,253.0
Ratnapura,2009,0,49.0,49.0,0,193.0,193.0
Ratnapura,2010,0.0,53.0,53.0,0.0,207.0,207.0
Ratnapura,2011,0.0,57.0,57.0,0.0,221.0,221.0
Ratnapura,2012,0.0,66.0,66.0,0.0,252.0,252.0
Ratnapura,2013,0.0,67.0,67.0,0.0,255.0,255.0
Ratnapura,2014,0.0,89.0,89.0,0.0,334.0,334.0
Ratnapura,2015,0,85.0,85.0,0,331.0,331.0
Ratnapura,2016,0,83.0,83.0,0,759.0,759.0
Ratnapura,2017,0.0,67.0,67.0,0.0,1044.0,1044.0
Ratnapura,2018,0.0,98.0,98.0,0.0,1236.0,1236.0
Ratnapura,2019,0,99.0,99.0,0,1350.0,1350.0
Ratnapura,2020,125.8,104.0,229.8,1615.7,1193.0,2808.7
Ratnapura,2021,173.1,209.4,382.5,2184.9,2562.8,4747.7
Ratnapura,2022,147.5,194.9,342.4,2047.9,2315.5,4363.4
Ratnapura,2023,128.6,155.2,283.8,1734.1,1986.2,1734.1
Ratnapura,2024,269.1,222.3,491.4,237.1,273.7,510.8
Ratnapura,2025,0,151.6,0,0,1896.2,0
Kegalle,2001,0,192.0,192.0,0,1405.0,1405.0
Kegalle,2002,0,193.0,193.0,0,1421.0,1421.0
Kegalle,2003,0,188.0,188.0,0,1184.0,1184.0
Kegalle,2004,0,179.0,179.0,0,926.0,926.0
Kegalle,2005,0,139.0,139.0,0,815.0,815.0
Kegalle,2006,0,102.0,102.0,0,601.0,601.0
Kegalle,2007,0,114.0,114.0,0,780.0,780.0
Kegalle,2008,0,244.0,244.0,0,1633.0,1633.0
Kegalle,2009,0,183.0,183.0,0,1764.0,1764.0
Kegalle,2010,0.0,232.0,232.0,0.0,2169.0,2169.0
Kegalle,2011,0.0,234.0,234.0,0.0,2168.0,2168.0
Kegalle,2012,0.0,236.0,236.0,0.0,2259.0,2259.0
Kegalle,2013,0.0,244.0,244.0,0.0,3644.0,3644.0
Kegalle,2014,0.0,184.0,184.0,0.0,1610.0,1610.0
Kegalle,2015,0,208.0,208.0,0,1933.0,1933.0
Kegalle,2016,0,173.0,173.0,0,1602.0,1602.0
Kegalle,2017,0.0,173.0,173.0,0.0,1602.0,1602.0
Kegalle,2018,0.0,150.0,150.0,0.0,1350.0,1350.0
Kegalle,2019,0,146.0,146.0,0,1040.0,1040.0
Kegalle,2020,87.0,153.0,240.0,713.3,1081.0,1794.3
Kegalle,2021,78.9,127.9,206.8,731.4,1003.5,1734.9
Kegalle,2022,99.1,323.9,423.0,911.8,1377.8,2289.6
Kegalle,2023,116.0,210.8,326.8,1062.6,1570.6,1062.6
Kegalle,2024,1.8,17.9,19.7,2.3,16.9,19.2
Kegalle,2025,0,153.2,0,0,1416.6,0
